date	ticker	open	high	low	close	volume	close_sliding	criticalDay	happy
Fri Feb 19 00:00:00 EST 2010	"GOOG"	540.48	544.03	539.7	540.763	25553	[594.1,602.02,601.11,590.48,587.09,589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763]	13	false
Mon Feb 22 00:00:00 EST 2010	"GOOG"	547.12	547.5	541.0	542.8	21447	[602.02,601.11,590.48,587.09,589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8]	8	false
Tue Feb 23 00:00:00 EST 2010	"GOOG"	543.55	543.63	532.29	535.07	28747	[601.11,590.48,587.09,589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07]	2	false
Wed Feb 24 00:00:00 EST 2010	"GOOG"	534.39	538.44	530.51	531.47	23269	[590.48,587.09,589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47]	11	false
Thu Feb 25 00:00:00 EST 2010	"GOOG"	526.93	528.4899	520.0	526.43	33093	[587.09,589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43]	6	false
Fri Feb 26 00:00:00 EST 2010	"GOOG"	527.05	531.75	523.48	526.8	20493	[589.85,580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8]	12	false
Mon Mar 01 00:00:00 EST 2010	"GOOG"	530.07	533.29	527.74	532.69	22383	[580.0,587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69]	17	false
Tue Mar 02 00:00:00 EST 2010	"GOOG"	535.02	545.66	535.01	541.06	43574	[587.62,580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06]	13	true
Wed Mar 03 00:00:00 EST 2010	"GOOG"	542.25	548.12	539.25	545.32	30901	[580.41,582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32]	7	true
Thu Mar 04 00:00:00 EST 2010	"GOOG"	546.2	556.13	546.2	554.59	31840	[582.98,550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59]	17	true
Fri Mar 05 00:00:00 EST 2010	"GOOG"	561.0	567.67	559.9	564.21	39133	[550.01,540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21]	4	true
Mon Mar 08 00:00:00 EST 2010	"GOOG"	564.78	565.18	561.01	562.48	23865	[540.0,542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48]	15	true
Tue Mar 09 00:00:00 EST 2010	"GOOG"	559.46	564.66	556.5	560.19	31775	[542.42,542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19]	19	true
Wed Mar 10 00:00:00 EST 2010	"GOOG"	563.75	578.5	562.21	576.45	56590	[542.1,534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45]	18	true
Thu Mar 11 00:00:00 EST 2010	"GOOG"	574.92	586.21	574.2	581.14	42352	[534.29,529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14]	19	true
Fri Mar 12 00:00:00 EST 2010	"GOOG"	587.57	588.275	579.16	579.54	27562	[529.944,533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54]	18	true
Mon Mar 15 00:00:00 EDT 2010	"GOOG"	566.33	569.45	556.0	563.18	46565	[533.02,531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18]	8	true
Tue Mar 16 00:00:00 EDT 2010	"GOOG"	561.56	568.42	560.76	565.2	34328	[531.12,540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2]	10	true
Wed Mar 17 00:00:00 EDT 2010	"GOOG"	567.86	571.4499	564.2501	565.56	33224	[540.82,526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56]	4	true
Thu Mar 18 00:00:00 EDT 2010	"GOOG"	564.98	568.44	562.96	566.4	17771	[526.778,531.29,533.47,536.44,534.445,536.4,533.12,541.3,538.207,543.22,540.763,542.8,535.07,531.47,526.43,526.8,532.69,541.06,545.32,554.59,564.21,562.48,560.19,576.45,581.14,579.54,563.18,565.2,565.56,566.4]	17	true
