lang	long	lat
"fr"	-97.404912	32.616651
"es"	-56.876772	-37.126264
"en"	-84.67894	34.035071
"en"	-77.614776	43.1452
"tr"	31.503439	36.79427
"ru"	49.074041	53.57076
"es"	-70.579167	-33.388333
"pt"	-48.83888	-26.355726
"en"	-76.868315	40.26304
"en"	-83.222279	42.503422
"en"	121.122294	14.69396
"pt"	-52.378968	-28.244718
"ja"	141.02	37.25
"tr"	36.552464	40.324977
"es"	-5.873736	39.478143
"en"	-77.037351	-12.110736
"pt"	-51.107829	-30.016828
"en"	7.512899	9.080105
"und"	-95.744104	29.803711
"en"	2.146207	41.384496
"und"	-74.178518	4.626859
"nl"	8.724518	47.501271
"en"	-95.646831	29.721378
"it"	12.423947	41.904733
"tr"	30.637779	36.861219
"es"	-57.555924	-38.072312
"pt"	-9.006783	38.98544
"en"	-81.580595	28.415153
"es"	-68.001333	-38.937258
"tr"	34.963145	40.557149
"en"	-81.27692	42.947597
"ru"	37.550812	55.75472
"pt"	-9.421575	38.696789
"tr"	29.057696	41.167777
"en"	-3.591634	55.051238
"pt"	-48.504645	-27.48074
"es"	-62.456735	-32.919227
"in"	115.219582	-8.709004
"en"	24.573212	46.544667
"en"	-85.089649	35.167588
"es"	-56.893911	-33.513596
"pt"	-48.475707	-1.449758
"es"	-86.59192	15.797477
"pt"	-43.285219	-22.907141
"en"	13.4004	52.518767
"pt"	-45.949154	-23.289901
"en"	-122.535472	45.418574
"pt"	-54.714227	-2.418009
"pt"	-47.955423	-15.833366
"es"	-3.035677	43.328921
"en"	-72.101061	41.333897
"en"	14.421369	50.087181
"en"	-97.97985	30.21822
"en"	-0.035344	51.685295
"pt"	-40.660064	-5.18321
"en"	-95.334801	29.909201
"tr"	27.085333	38.393406
"en"	-80.04138	42.129323
"it"	9.213718	45.489943
"pt"	-49.261652	-16.601789
"en"	101.167888	3.425309
"en"	-0.213616	51.482219
"en"	27.862825	-32.996434
"pt"	-57.481188	-25.185693
"es"	-90.454796	14.566325
"en"	-87.758464	41.874705
"en"	33.317509	35.33699
"fr"	2.089433	43.232409
"pt"	128.1875	-3.69064
"ru"	23.816573	53.674036
"es"	-64.298122	-36.625269
"en"	-73.893241	40.701116
"pt"	-51.216677	-30.025776
"es"	-84.516976	9.918595
"en"	-73.639815	45.494979
"en"	106.612283	-6.218169
"ru"	53.45359	54.473173
"tl"	120.938884	14.357063
"in"	102.795466	2.491352
"es"	-4.072536	40.475052
"ja"	138.192779	36.634041
"en"	121.066237	14.625034
"in"	103.34515	3.83166
"en"	-78.998438	33.685291
"tr"	29.963961	40.686615
"tr"	28.955864	40.252297
"tr"	27.965904	40.344687
"und"	-96.351082	30.663297
"tr"	30.493585	39.791583
"en"	-119.852603	34.409939
"ar"	51.41216	25.26919
"pt"	-9.122034	38.740832
"es"	-71.576805	-33.069851
"pt"	-46.683821	-23.676156
"en"	28.191247	-25.752378
"en"	-98.854192	19.985527
"in"	106.13586	-6.11623
"pt"	-48.479769	-1.42998
"en"	124.632987	8.446108
"es"	-3.842276	43.414014
"tl"	102.246571	2.206666
"ja"	131.000222	33.754861
"pt"	-43.885096	-19.648355
"en"	-71.079443	42.394927
"en"	-3.163417	55.961308
"en"	-75.912849	42.097875
"in"	112.71616	-7.12414
"en"	123.154399	13.623624
"tl"	123.043658	10.606228
"pt"	-51.177492	-29.990475
"ar"	48.077821	29.286038
"en"	-96.731955	32.812216
"es"	-97.851721	22.286749
"en"	-75.136559	40.114989
"es"	-58.590121	-34.664731
"es"	-74.043448	4.703998
"tr"	28.847661	40.225933
"es"	-58.700442	-34.52248
"ar"	31.16748	30.95858
"en"	-8.617106	52.691751
"pt"	-40.424474	-20.349711
"tr"	27.439884	38.623099
"es"	-99.192817	19.45513
"en"	-118.22295	34.045988
"in"	106.91092	-6.10895
"en"	-73.931291	40.701431
"en"	-80.39116	25.497844
"in"	106.53284	-6.18797
"en"	-122.684511	45.566915
"tr"	29.027392	41.077458
"th"	103.294659	16.194139
"es"	-95.043444	16.485646
"en"	-7.331326	54.995529
"es"	-2.56667	36.8167
"pt"	-43.359868	-22.997225
"es"	-107.468107	24.809308
"en"	-79.534221	8.951274
"pt"	-43.33118	-22.972182
"en"	-83.420721	42.408971
"en"	29.122374	40.928154
"tr"	29.309394	40.408256
"ru"	104.283825	52.291938
"en"	-89.774896	43.627569
"ru"	30.262624	59.869663
"pt"	-49.951632	-22.21979
"ar"	45.657963	24.478678
"in"	106.744766	-6.266841
"en"	-81.581971	28.420406
"ru"	45.939667	51.585333
"ru"	74.607781	42.862569
"es"	3.043828	36.528507
"en"	-92.448105	42.511398
"fr"	-73.784565	43.08313
"en"	120.683375	15.066078
"pt"	4.884279	52.37602
"es"	-46.593906	-23.581667
"th"	127.019829	37.554008
"en"	-81.539788	28.33004
"en"	-2.58476	51.485485
"en"	-82.849839	39.889808
"fr"	2.433157	48.788781
"es"	-58.784041	-34.64123
"es"	-43.019976	-22.826966
"pt"	-44.056977	-19.97087
"pt"	-37.05778	-10.903928
"tr"	30.386956	40.790696
"und"	-54.828506	-22.213439
"en"	-74.090156	40.938725
"pt"	-55.229235	-28.506273
"en"	-84.235892	39.739993
"en"	-1.469182	54.998285
"und"	2.212917	49.017625
"pt"	-51.252108	-30.103676
"en"	-77.557245	37.600481
"en"	-95.071243	45.13787
"ru"	49.208401	55.746491
"und"	-72.229009	7.755943
"pt"	-52.294621	-31.751669
"tr"	27.113288	38.457558
"en"	-38.497134	-3.736332
"in"	110.163692	-7.855282
"und"	12.44519	41.853812
"in"	117.006249	-0.351528
"en"	-2.23459	51.85095
"in"	110.387816	-7.788634
"und"	-122.164599	38.056709
"tr"	27.211185	38.462188
"ru"	46.021728	51.563244
"en"	-83.84513	43.076221
"en"	100.498237	13.758533
"fr"	2.352995	48.940871
"in"	109.964041	-1.849858
"it"	-1.201016	37.989593
"es"	-2.891717	43.236283
"pt"	-47.335204	-23.355829
"in"	106.83555	-6.35675
"tr"	32.646143	39.991073
"es"	-98.74746	29.42998
"en"	121.137936	14.238033
"en"	-122.411082	37.788399
"tl"	124.646291	8.470509
"tr"	30.361197	40.765729
"ar"	10.488582	33.339264
"tr"	39.75039	40.998133
"en"	-2.720717	53.763722
"fr"	3.495814	50.310784
"es"	-58.679998	-34.687546
"en"	101.019449	4.491557
"es"	-8.749978	42.21712
"en"	-80.962134	34.89604
"in"	-74.524042	39.389839
"pt"	-48.392518	-1.356448
"en"	-73.964853	40.760769
"in"	123.373245	13.39124
"pt"	-51.226276	-30.087252
"in"	107.027842	-6.281943
"ru"	47.21521	56.145767
"tr"	35.129942	42.017965
"tl"	-42.538854	-22.289917
"pt"	-46.841796	-23.412232
"tr"	33.921686	35.135282
"en"	121.028998	14.595703
"en"	-90.292762	38.539448
"pt"	-46.537441	-23.629535
"ar"	49.992883	26.566326
"in"	105.327392	-5.125248
"en"	35.564005	33.851227
"in"	112.571436	-7.218576
"it"	9.92443	45.677721
"en"	31.141981	-25.332815
"tl"	27.132712	38.428333
"tr"	30.668562	36.924925
"ru"	45.097593	53.155395
"en"	-2.162018	53.396416
"pt"	-45.077834	-23.423211
"ar"	48.021572	29.367463
"in"	100.337108	6.190701
"en"	-97.472326	30.141776
"en"	-75.516882	39.766423
"tl"	120.380308	16.013703
"ru"	30.355606	46.173914
"tr"	27.117949	38.456428
"tr"	29.086437	41.095596
"en"	-70.869202	42.279177
"pt"	-43.352482	-22.874532
"ar"	46.679898	24.755422
"en"	-86.782777	36.033116
"in"	106.81252	-6.23342
"en"	28.742191	41.18297
"in"	101.486859	3.203525
"en"	-87.850161	41.098875
"tr"	30.702538	36.885203
"es"	-100.206492	25.678139
"en"	-76.978626	38.845283
"in"	110.38129	-7.82426
"und"	-60.677125	-32.931456
"es"	-4.41881	36.744772
"en"	77.313667	28.660652
"pt"	-46.63682	-23.571155
"en"	-81.496671	30.257639
"fr"	-1.022506	46.860122
"es"	-99.182148	19.347277
"pt"	-48.474019	-1.454768
"tr"	35.329716	36.998787
"es"	-60.727507	-32.789857
"pt"	-43.419593	-22.914977
"en"	-3.001725	53.142582
"tr"	35.825197	37.02915
"en"	-76.705998	37.27125
"pt"	-38.453967	-12.835138
"es"	-61.948805	-37.461616
"ru"	46.078398	51.53698
"es"	-67.984492	-38.928085
"pt"	-45.58919	-23.03697
"en"	27.701887	38.488747
"es"	-68.425945	18.690978
"in"	106.797282	-6.612435
"in"	107.58923	-6.91444
"tr"	28.963763	41.065113
"en"	-73.990358	40.736327
"en"	77.529343	12.960175
"th"	100.932344	13.279535
"und"	-0.444452	51.092927
"es"	-2.682123	42.848822
"pt"	-8.441002	40.254756
"ar"	-118.359226	33.823735
"en"	20.794298	41.112415
"es"	4.46522	51.141382
"es"	-60.648867	-32.933214
"en"	-80.832878	35.225608
"en"	-0.117271	51.560195
"es"	-8.573165	40.627507
"de"	9.940505	51.529064
"in"	8.47448	12.02559
"tr"	35.64546	38.591933
"en"	100.359653	6.46128
"pt"	-6.758348	41.81927
"en"	-76.932957	39.19263
"en"	-7.988943	12.561969
"es"	-99.234076	18.946844
"tr"	29.13225	41.007928
"es"	-77.067741	-11.959172
"und"	-99.168996	19.428228
"en"	0.67553	51.729525
"en"	-74.131892	40.628461
"in"	110.34933	-6.99539
"und"	-3.375848	40.472423
"es"	-90.796493	14.993977
"tr"	26.376422	38.284937
"en"	-57.587386	-25.301915
"ru"	27.67878	53.997209
"en"	-81.5047	41.06211
"ja"	139.703779	35.657784
"ja"	140.737597	36.771177
"tr"	28.942974	41.015431
"pt"	-52.033206	-23.452476
"pt"	-6.243104	53.355643
"pt"	-42.045793	-22.888929
"en"	-77.8123	40.80394
"it"	9.86171	45.194586
"es"	-70.091995	18.418624
"en"	-118.342265	34.099803
"en"	-73.867749	40.856002
"es"	-96.111011	19.165332
"in"	-99.222952	19.288143
"ja"	139.673408	35.676573
"en"	-117.206628	34.070749
"en"	-90.129037	29.883116
"ja"	137.048221	35.07986
"ja"	139.643602	35.668146
"th"	100.634136	13.767306
"en"	-77.026544	38.996019
"en"	-93.658764	41.621995
"es"	-58.381827	-34.60675
